label,drug,n,active
47,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,-10.512592189364206,0
254,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)[O-].CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)[O-].[Ca+2],-10.482008659715305,0
140,CC1=C(SC=C1)C(=CCCN2CCCC(C2)C(=O)O)C3=C(C=CS3)C.Cl,-10.40808451511845,0
169,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13.Cl,-10.358386452147435,0
106,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O.Cl,-10.315208353596246,0
17,CC(CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,-10.285142281890295,0
269,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C.Cl,-10.2624420462036,0
244,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O.CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O.OS(=O)(=O)O,-10.24412014668545,0
18,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+],-10.2408164685918,0
71,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,-10.22114236046213,0
188,CC(C)NCC(C1=CC(=C(C=C1)O)O)O.Cl,-10.182477561936519,0
94,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,-10.13788384577433,0
389,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C.Cl,-10.100143993616715,0
186,C1C(C(C(C(N1CCO)CO)O)O)O,-10.050573056216304,0
181,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)[O-])C(=O)[O-].[Na+].[Na+],-10.05024100732642,0
187,C1=CC(=C(C=C1Cl)Cl)CON=C(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl.[N+](=O)(O)[O-],-10.046192919387146,0
75,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,-10.012119846724449,0
114,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,-10.009244881826994,0
419,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,-9.97297500908077,0
76,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,-9.96670561320296,0
21,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,-9.950788243412134,0
366,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,-9.949780721127935,0
107,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],-9.942895244066289,0
358,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)C,-9.889187416526465,0
15,CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)CCC43C)F)O)C)O,-9.886590351653709,0
125,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C.Cl,-9.881510989172469,0
273,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,-9.877535435612746,0
337,CCCC1=CC(=O)NC(=S)N1,-9.870413079445676,0
250,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31.Cl,-9.868964639203064,0
365,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,-9.8572805145107,0
241,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,-9.853829863990075,0
26,CC(C)(C)NCC(COC1=CC=CC2=C1CCCC2=O)O.Cl,-9.82762599327269,0
185,C[N+]1(C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O)C.[Br-],-9.789430379783244,0
206,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,-9.778252114802585,0
33,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O.Br,-9.69159094166799,0
245,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,-9.683219990776166,0
99,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,-9.581763667179235,0
247,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,-9.57976054917151,0
9,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,-9.568628890177845,0
207,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,-9.392179062986415,0
199,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,-9.382222138212516,0
266,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].O.[Na+],-9.366860225315001,0
180,CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O,-9.315098127869694,0
256,CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC.Cl,-9.196415240637656,0
84,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C.C(=CC(=O)O)C(=O)O,-9.183785995262735,0
222,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,-9.173467887816456,0
373,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.Cl.Cl,-9.15285658677781,0
146,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,-9.129032661304695,0
59,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,-9.103237952518745,0
31,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N.OP(=O)(O)O,-9.086480539837885,0
418,CCCCCCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,-9.0677224601916,0
88,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1.Cl,-9.040662399278736,0
74,CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C,-9.035635864055696,0
426,CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O,-8.99329402605665,0
238,C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,-8.96808401237406,0
90,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,-8.894230606274546,0
252,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,-8.85026604979038,0
73,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,-8.830960107859765,0
128,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.O.Cl,-8.745968540583704,0
132,C1=CC=C2C(=C1)C=NN=C2NN.Cl,-8.727841676981486,0
52,CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,-8.693320790708334,0
393,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,-8.658895129909109,0
